,Отзыв
69,"Потрясающий кофе, просто божественный. Заказывала латте с вишнёвым сиропом. Густая молочная пенка, хорошо сваренный вкусный кофе и очень вкусный вишнёвый сироп. Всё в равных пропорциях, идеально приготовлено. Очень уютно, душевно. Обязательно посетите, когда будете в Калуге!"
70,"Очень понравилась кофейня. Бывал на завтраках от отеля. Обслуживание быстрое, классная континентальная кухня. Кофе не могу оценить, брал только чай."
71,Еда просто бомба 💪 особенно завтраки 🍳☕ Вкусный кофе ☕ и дружелюбная атмосфера 😎 Вежливый персонал 🤗 буду рад посетить заведения снова 🤘
72,"Обожаю это кафе, вкусные завтраки и потрясающие коктейли. Обслуживание на высоте. В кафе очень чисто, опрятные официанты в стильной униформе. Дизайн в кафе завораживает )"
73,"Стильное место, как и все заведения этой группы. Обширнейший выбор коктейлей с интересной подачей для выбора. Вкусная и разнообразная кухня. Удобное расположение в центре города. Рекомендую к посещению."
74,"Очень вкусно. Каждый сезон есть новинки, помимо основного уже привычного меню. Удобно приехать, есть личная парковка. Вечером живая музыка. Нам очень понравилось. Официанты всегда приветливы."
75,"Посетили ресторан и остались в великолепном удовольствии начиная от работы официантов до конечно же еды. Завтраки в этом заведении просто великолепны. Все было приготовлено быстро, а самое главное вкусное!)"
76,"Были в Тамбове проездом. Случайно зашли в это кафе. Мы сели в зале, который слева от входа. И, как оказалось, не прогадали!! Очень вкусная еде. Салат с баклажанами и сырными шариками это просто нечто!!! Еще очень понравился чай с манго и имбирем-в меру сладкий и очень вкусный. Мне очень понравился! Вежливые и очень быстрые официанты. Красивый интерьер с удобными диванами и креслами. Следует учесть, что в левой части кафе отдельное меню, центральная и правая части с другим меню и они между собой не связаны."
77,"Приятное место в Тамбове. Еда - по-разному, что-то особенно удается, что-то раз на раз не приходится. Но всегда отличный кофе, выпечка, десерты. Музыка ненавязчивая, можно спокойно пообщаться или поработать."
78,Хорошее кафе для тех кому надо позавтракать. В командировке дважды был здесь на завтраке.
79,"Чудесное, очень уютное местечко. Посидеть, выпить кофе, пообщаться- самое то. Отличный кофе, ну и вкусняшки на любой вкус."
80,Уютно. С семьёй можно зайти. Чтобы досыта поесть потратишь в мае 2023 около 600-700 р. Отличная окрошка и недорогая! Порцию курицы принесли ооочень большую. Атмосфера уютная. Обслуживают мгновенно!!!!
81,"Потрясающее заведение на соответствующую тематику , все супер большой выбор аксессуаров . Единственное напитки фирменные на вкус очень грустно . Подача классная . вкус пережжённых зерен и молоко прям вода ."
82,"Все очень понравилось,хорошая атмосфера , приятный персонал, вкусно все сделано . Выпечка своя ,прям при вас пекут круассаны,украшают и подают Есть приятные бонусы в виде распределительной шляпы ,которую можно надеть и определить свой факультет ,а также в качестве комплимента от заведения стоят печенья , вода с лимоном,вода с имбирём, медом и лимоном. Также часть зала посвящена сувенирам по тематике Гарри Поттера. Очень понравилось заведение ,всем рекомендую !"
83,Классное место. Нам очень понравилось. Попробовали сливочное пиво на основе лимонада. Очень прикольно и необычно 👍🥰 Шалость удалась 🤗
84,"Тематический кофе просто прекрасен. В меру сладкий, с ароматами отсылающими к любимым персонажам. Хочу попробовать всех)"
85,"попрбовала чай нахальный фрукт, невероятно вкусный) Красивые и приятные ребята бариста, классная атмосфера и десерты, очень понравилось у вас!"
86,"Была в кафе первый раз. 15.06 Довольно уютно, комфортно. Девочки очень вежливые, приветливые! С ориентировали по меню. Выпила холодный кофе(супер!!!) И перекусила омлетиком. В общем и целом очень довольна(жаль бываю в тех краях редко). Персоналу большое спасибо! Успеха и процветания!!!"
87,"Обслуживание приятное и обходительное, могут помочь с выбором по меню. Кофе не сказать что лучший в городе, но что-то есть, хотя поработать над вкусом стоит. Главная притензия состоит в том, что перед работой сотрудников не проверяют на чистоту рук. Обслуживал молодой человек и сразу в глаза бросились грязные ногти. Наверное в ближайшее время от посещения данного заведения откажусь. Разочарован."
88,Красота и милота неописуемая! А вафли с лососем – нежнейшие 🤌🏻
89,"Очень понравилась работа персонала, радушно, профессионально и не навязчивой. Кухня также на достойном уровне. Обязательно вернемся"
90,очень приятное место со своей атмосферой. Официанты молодцы!
91,"Брали кофе, ели-ели тёплый раф получили, который готовили ну очень долго, минут 15-20 мы ждали свои две чашки, вкус тоже на 3/5. Спешили и времени на споры не было( Желаю заведению совершенствоваться, потому что интерьер у вас хороший, а вот над кофе надо поработать!"
92,"Я безумно рад, что у нас в ЖК появилась «Практика Кофе!!!! Я здесь пью кофе сам либо с девушкой практически каждый день 🔥🔥🔥 Выделю плюсы: - приятное пространство (особенно круто для тех кто фрилансер или работает удаленно) - удобные кресла у входа - розетки на каждом углу - приятный и уютный туалет (это важно!), также там вкусно пахнет и всегда чисто 👍 - офигенный капучино (могу подтвердить тем, что пробовал в других заведениях в центре Москвы за большую цену и они мне разочаровывали, а здесь все на высшем уровне!) - Кэшбек система Asap (по накоплению баллов можно расплатиться за продукцию. Это приятно ❤️) - Из минусов: - маленький выбор авторских напитков (кофе) - в авторских напитках мало чувствуется кофе, ощущение «просто сладкая водичка» Дальнейшего развития команде «Практика Кофе!». Пусть ваше заведение становится больше и лучше 🙏"
93,"Очень вкусный завтрак, вежливый персонал, милая атмосфера."
94,"Я бы хотел отметить, что кофейня Coffee 22 в центре Санкт-Петербурга - это настоящая находка для любителей ароматного кофе и уютной атмосферы. Очень приятно, что здесь работают дружелюбные и профессиональные баристы, которые с радостью помогут выбрать напиток и поделятся своими знаниями о кофе. Кофейня Coffee 22 - это место, где можно провести время с друзьями или поработать за чашкой вкусного кофе. Я рекомендую всем посетить эту уютную кофейню и насладиться ее атмосферой!"
95,"А здесь самый вкусный капучино в городе, я не пью кофе, но иногда хочется посидеть и попить именно кофе. Не люблю, когда горько и так там уютно, спокойно, кайф!!!"
96,"Всё быстро и вкусно, но раньше было лучше)))"
97,"Восхитительная атмосферная кофейня, персонал приветливый, еда оооочень вкусная! И кофе прям волшебный, делают всё быстро, вкусно и здорово, интерьер очень порадовал, часто заглядываю 🥰"
98,Маленькая уютная кофейня. Очень милое заведение. Случайно увидела когда шла после работы. Вкусный кофе 😍в подарок дали шоколадку. Настроение сразу улучшилось. Очень приятно ☺️девушка-бариста вежливая и доброжелательная. Однозначно буду приходить ещё 😍и любителям кофе очень советую ✨☺️
99,"Место просто замечательное, несмотря на то, что кофейня маленькая там очень уютно, приветливый персонал и очень вкусный кофе, можно смело рекомендовать данную кофейню для посещения."
100,Крутая кофейня с вкусным кофе и приятной атмосферой. Продавцы всегда на позитиве и даже не выпив кофе можно получит заряд бодрости. Часто захожу в это место перед работой!
